miRNA,Disease,Category,Evidence_class,Source_as_recorded,Reference_1,Reference_2,Study_type,Method,Validated_targets,Pathway_mechanism,Functional_role,Has_exact_sequence
miR-548b-5p,Head and neck squamous cell carcinoma,Cancer,E2,HMDD,"[89](Sass, S. et al., 2015",,In silico,TCGA data portal TargetScan,,,,True
miR-548b-5p,Colorectal cancer,Cancer,E1,HMDD,"[112](Li, C. et al., 2022)",,In vitro,FISH assay qRT/PCR,,,,True
miR-548b-5p,Breast cancer,Cancer,E1,HMDD; HMDD,"[23](Záveský et al., 2022); [126](Yan, C. et al., 2019)",,Ex vivo,qRT/PCR,,,,True
miR-548b-5p,Subacute Sclerosing Panencephalitis (SSPE),Infectious diseases,E1,Pubmed,"[30](Cakmak et al., 2018)",,Ex vivo,qRT/PCR,,,,True
miR-548b-5p,Malignant Astrocytoma,Cancer,E1,HMDD,"[75](Yang et al., 2013)",,Ex vivo,qRT/PCR,,,,True
miR-548b-5p,Primary central nervous system lymphoma (PCNSL),Cancer,E1,HMDD,"[123](Takashima et al.,2020)",,Ex vivo In silico,Microarrays qRT/PCR TargetScanHuman,,,,True
miR-548bb-3p,Gastric cancer,Cancer,E1,HMDD,"[92](Yu, S. et al., 2022)",,In vitro In vivo,Microarray assay qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548bb-3p,Cancer,Cancer,E1,HMDD,"Hu et al., 2014 (PMID: 24556720)",Original article uses C2-miRNA/miR-548bb nomenclature; the mature miR-548bb-3p annotation is linked to PMID 24556720 in miRBase.,Ex vivo / In vitro / In vivo,RT-qPCR; NanoString; miRNA overexpression/inhibition; cell viability/apoptosis assays; mouse xenograft,,,,True
miR-548c-3p,Papillary thyroid carcinoma,Cancer,E1,HMDD,"[15]Liang et al., 2012 ; [146](Du, Y. et al., 2019)",,Ex vivo In vitro,qRT/PCR,HIF1A,Hypoxia signaling (HIF1α/VEGF axis),Tumor suppressor,True
miR-548c-3p,Triple negative Breast cancer,Cancer,E1,HMDD; HMDD,"[16]Feng, 2021 ; [135](Wang, X. et al., 2021); [136](Tormo, E. et al., 2015)",,Ex vivo In vitro In vivo,qRT/PCR Dual-luciferase reporter assay,E2F3,Cell cycle progression,Tumor suppressor,True
miR-548c-3p,Breast cancer,Cancer,E1,HMDD,"[131](Tan et al., 2020)",,In Vitro,qRT-PCR,E2F3,,,True
miR-548c-3p,Osteosarcoma,Cancer,E1,HMDD; HMDD,"[77](Yao et al., 2020); [78](Zheng et al., 2020)",,Ex vivo In Vitro,qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548c-3p,Gastric cancer,Cancer,E1,HMDD,"[86](Li, B. et al., 2022)",,Ex vivo In vitro,qRT/PCR,,,,True
miR-548c-3p,Hepatocellular carcinoma,Cancer,E1,HMDD; HMDD,"[11](Chen et al., 2022); [101](Jin et al., 2020)",,In vivo,qRT/PCR Dual-luciferase reporter assay FISH,UBE2T LAMC2,,,True
miR-548c-3p,Gallbladder cancer,Cancer,E1,HMDD,"[107](Kong, L. et al., 2019)",,Ex vivo,qRT/PCR,,,,True
